app_id,player_count,type,is_free,categories,genres,price_jpy,metacritic_score,total_achievements,collected_at
2467720,0.0,game,True,シングルプレイヤー,カジュアル|インディー|無料プレイ,0.0,,0.0,2026-01-15T15:01:11.862382
2119160,0.0,game,True,シングルプレイヤー|マルチプレイヤー|PvP|オンラインPvP|クロスプラットフォームマルチプレイヤー|被追跡コントローラサポート|VR限定,アクション|アドベンチャー|カジュアル|インディー,0.0,,,2026-01-15T15:01:13.295431
3755550,,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|カメラの快適性|カスタム音量調整|難易度の調整|キーボードのみのオプション|時間制限付き入力なしでプレイ可能|いつでもセーブ可能|Steamクラウド|ファミリーシェアリング,インディー|RPG|ストラテジー,,,,2026-01-15T15:01:14.813600
2674140,0.0,game,False,シングルプレイヤー|Steam実績|ファミリーシェアリング,ストラテジー,1500.0,,22.0,2026-01-15T15:01:16.407426
695760,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,アドベンチャー|RPG,298.0,,,2026-01-15T15:01:17.885379
2184610,0.0,game,False,シングルプレイヤー|Steam実績|Steamクラウド|ファミリーシェアリング,カジュアル|インディー|ストラテジー,120.0,,24.0,2026-01-15T15:01:19.313493
1274530,,game,False,シングルプレイヤー|フルコントローラサポート|ファミリーシェアリング,アクション|アドベンチャー|インディー,,,,2026-01-15T15:01:20.750349
924530,0.0,game,False,シングルプレイヤー|マルチプレイヤー|協力プレイ|オンライン協力プレイ|Steam実績|Steamクラウド|データ|ファミリーシェアリング,アクション|カジュアル|インディー|ストラテジー,410.0,,50.0,2026-01-15T15:01:22.221686
1611970,0.0,game,False,シングルプレイヤー|ファミリーシェアリング,カジュアル|インディー,310.0,,,2026-01-15T15:01:23.742383
2872860,0.0,game,True,マルチプレイヤー|PvP|オンラインPvP|協力プレイ|オンライン協力プレイ|VR限定,アクション|インディー|無料プレイ,0.0,,,2026-01-15T15:01:25.208426
3435710,,game,False,シングルプレイヤー|ファミリーシェアリング,アドベンチャー|インディー|RPG,,,,2026-01-15T15:01:26.726359
1098190,0.0,game,True,シングルプレイヤー|被追跡コントローラサポート|VR限定,シミュレーション,0.0,,,2026-01-15T15:01:28.150934
695510,0.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|ファミリーシェアリング,アクション|アドベンチャー|インディー|RPG,310.0,,13.0,2026-01-15T15:01:29.514583
2424650,0.0,game,False,シングルプレイヤー|Steam実績|フルコントローラサポート|Steamクラウド|ファミリーシェアリング,アクション|カジュアル|インディー,235.0,,15.0,2026-01-15T15:01:31.459024
3400520,0.0,game,True,シングルプレイヤー|Steam実績,アドベンチャー|カジュアル|インディー|シミュレーション|無料プレイ,0.0,,24.0,2026-01-15T15:01:32.940423
3953600,,game,False,シングルプレイヤー|フルコントローラサポート|ファミリーシェアリング,アクション,,,,2026-01-15T15:01:34.442809
1840840,,game,False,シングルプレイヤー|マルチプレイヤー|協力プレイ|オンライン協力プレイ|フルコントローラサポート|ファミリーシェアリング,アクション|インディー|ストラテジー,,,,2026-01-15T15:01:35.901557
4006160,0.0,game,False,シングルプレイヤー|Steam実績|カスタム音量調整|マウスのみのオプション|ファミリーシェアリング,カジュアル|インディー|ストラテジー,580.0,,35.0,2026-01-15T15:01:37.299811
3205530,,game,False,シングルプレイヤー|マルチプレイヤー|キャプション使用可能|ファミリーシェアリング,カジュアル|インディー|シミュレーション,,,,2026-01-15T15:01:38.740288
3916780,,game,False,シングルプレイヤー|フルコントローラサポート|色のオプション|カスタム音量調整|キーボードのみのオプション|時間制限付き入力なしでプレイ可能|ファミリーシェアリング,インディー|RPG,,,,2026-01-15T15:01:40.206515
